referenced_idv_piid,piid,composite_key,sub_index,contract_number,uei,name,hours_invoiced,fte
47PB0018D0038,47PB0023F0022,47PB0018D0038~47PB0023F0022,3,1506-03,DGLJWJLX2NZ3,"MULTI-WELD SERVICES, INC.",64,0.03
47PB0021D0007,47PB0023F0061,47PB0021D0007~47PB0023F0061,1,20230414,XNMEYC522769,"Barton & Loguidice, D.P.C.",200,0.09
47PB0021D0007,47PC0223F0060,47PB0021D0007~47PC0223F0060,1,20230912,VDNFHRWT9ME6,BURO HAPPOLD CONSULTNG ENGINEERS PC,32,0.01
47PB0022A0004,47PB0022F0137,47PB0022A0004~47PB0022F0137,1,MA/RI 2023,WAEABL9LRLJ5,LB & B ASSOCIATES INC,5721.6,2.75
47PB0022A0004,47PB0022F0146,47PB0022A0004~47PB0022F0146,1,MA/RI 2023,WAEABL9LRLJ5,LB & B ASSOCIATES INC,15296.6,7.35
47PB0022A0006,47PB0022F0124,47PB0022A0006~47PB0022F0124,1,Burlington 2023,WAEABL9LRLJ5,LB & B ASSOCIATES INC,4020.6,1.93
47PB0022A0007,47PB0023F0010,47PB0022A0007~47PB0023F0010,1,NH 2023,WAEABL9LRLJ5,LB & B ASSOCIATES INC,6542,3.14
47PB0022A0007,47PB0023F0011,47PB0022A0007~47PB0023F0011,1,NH 2023,WAEABL9LRLJ5,LB & B ASSOCIATES INC,0,0
47PC0220D0003,47PC0221F0041,47PC0220D0003~47PC0221F0041,1,1743,XEFVS4NN8A26,BER NATIONAL CONTROLS INC,31,0.01
47PC0220D0003,47PC0222F0006,47PC0220D0003~47PC0222F0006,1,1755,FYJ6ZZG89N45,ECKERT MECHANICAL LLC,287,0.13
47PC0220D0003,47PC0223F0021,47PC0220D0003~47PC0223F0021,1,1858,PRENBLKC3J23,"LUPINI CONSTRUCTION, INC.",33,0.01
47PC0220D0007,47PA0323F0025,47PC0220D0007~47PA0323F0025,1,23-003.1,VF1EHEYKQPX1,RJK SERVICES NYC CORP,549,0.26
47PC0220D0007,47PC0222F0037,47PC0220D0007~47PC0222F0037,1,22-008.1,J8KYNT7E8CA7,ARCOLITE LLC,3293,1.58
47PC0220D0007,47PC0222F0037,47PC0220D0007~47PC0222F0037,2,22-008.1,L6T3Z84VUFK1,NUCO PAINTING CORP.,160,0.07
